id;description;DEF
982672218437868;"diese armen flüchtigen Terroristen wollen zu uns?...in unsere Heimat!...Frau "" Merkel schauen Sie  sich das ganz genau an, was dann hier passiert !...die werden sich sicher nicht dem deutschen Gesetz fügen...";FALSE
1055424157829340;das volk muß geschlossen auf die straße, grenzen dicht und bewachen. wenn dieser invasion nicht bald einhalt geboten wird.....dann droht uns ein echter krieg.;FALSE
856753327696425;Die haben gedacht wenn sie den Kopf abschlagen ist Schluss haben sie sich ganz schön geirrt...;FALSE
1063729926998763;Die dritte Generation von muslimischen Einwanderern versetzt dem Bildungsdurchschnitt der alten Bundesländer den Todesstoss. Je mehr von dieser Klientel in einem deutschen Klassenzimmer sitzt desto geringer ist die Lernbereitschaft.;FALSE
106;"#Islamisierung ""Zusammenstöße zw GLÄUBIGEN (Richtig: #Islamisten) &amp; Sicherheitskräften"" - #Tagesschau sendet bereits im #Scharia-Modus";FALSE
961025837269173;Der Mann hat vollkommen recht.Jeder Ausländer der über ein sicheres Zwischenland hierher kommt ,sollte so chnell wie möglich abgeschoben werden;FALSE
857596614278763;Ja. Glaub mir doch. Ich bin Moslem, aber ich verstehe euch. Ich bete sogar mit Christen, aber auch mit Moslem. Diejenigen die dich als Hure und Schlampe bezeichnen, diejenigen sollten das Land schnellstens verlassen. Aber schuld sind die Eltern solcher Kinder. Solche Kinder und Jugentliche werden ständig von den Eltern mit Ehre und etc zugedröhnt. Aber trotz allem: Die Anzahl der Islamisten sind zwar Rückläufig, sprich die Türken wandern ab, aber noch mehr sorgen sollten wir uns über Osteuropa machen. Hab zwar Angst vor Islamisierung. Genauso viel Angst habe ich aber auch vor einer Osteuropäisirung. Die sehen Deutschland als Freiwild. Als Beute. Ist aber so. Schaut euch mal die Grenzen zu Polen an ???? Auch Rumänien und Bulgarien GRRRR Mir wird schlecht (wenn ich die Namen schon höre). Die sehen Deutschland als Sozialparadies :/;FALSE
991234720914951;"Es dauert noch ein paar Minuten, da der Zustrom an Leuten noch kein Ende nimmt.

Wir sind jedenfalls motiviert bis in die Haarspitzen. ??????

#AsylbetrügerRaus ##MerktEuchDieNamen #MontagIstPegidaTag #GlücksritterZurückverschiffen #SchengenAussetzen #GrenzenDicht #PEGIDA";FALSE
748;...wie süß und entgegenkommend...das Auswärtige Amt nimmt Terminwünsche für den #Familiennachzug an. |LBR| Vielleicht holt man die Angehörigen auch einfach per shuttleservice direkt aus dem Herkunftsland ab. |LBR| Kannste Dir nicht ausdenken. |LBR| #N24;FALSE
369;@JuttaMBrandt Na der Typ ist wohl die personifizierte LINKSGRÜNversyphte ABARTIGKEIT ! Das auch noch mit Aufruf zur Gewalt, die den DEUTSCHEN durch Messerschwingenden LIBANESEN-und TÜRKENABSCHAUM angetan werden soll, weil es ja so innovative Unmenschen sind! Wie kommt son Typ an solchen Posten;FALSE
895401043831653;Warum sollte ich Propaganda machen? Ich hatte nur auf einige 1000 Menschen hingewiesen, denen im Namen Allah die Köpfe abgeschnitten, die Hirne herausgeschlagen, die gekreuzigt oder lebendig verbrannt wurden. Passte halt nicht ins selbstgebastelte Weltbild des Islamverstehers Todenhöfer.;FALSE
407;@Josie4you @Frank_Pasemann Es gäbe eine Lösung...wir sollten als Verstärkung die Maghreb-Polizei holen |LBR| Nichts fürchten die kleinen Schmarotzer mehr..!;FALSE
185;Vehement kotzt sich d. CDU üb. Nazis in d. AfD aus,hatte aber nach 45 Nazitäter in d. Regierung u behinderte d. Aufarbeitung d. 3. Reiches 😜;FALSE
960864323951991;Jasmin, die sind nicht belegt, die sind baufällig, weil alles Geld in die Asylindustrie geht.;FALSE
1038648899506866;Nun haben wir das Schlamassel, was viele schon vorhergesagt haben und dafür geteert und gefedert worden sind, ist nun eingetreten. Der Cocktail aus Bildungsferne, arabischem Frauenbild, Testosteron, Geringschätzung unserer Kultur, multipliziert mit der Menge alleinreisender Männer hat den Boden für Übergriffe in noch nie dagewesener Form (nach dem 2.WK) bereitet. https://www.fischundfleisch.com/awelledits/muessen-wir-uns-den-zuwanderern-anpassen-14619;FALSE
945865638785193;Wenn ich schon die 2 Trullas auf dem Bild sehe ... wird mir extremst übel.;FALSE
148;Migrantenanteil in Großstädten |LBR| München 36% |LBR| Frankfurt 43% |LBR| Stuttgart 38% |LBR| Nürnberg 37% |LBR| Köln 31% |LBR| Hamburg 27% |LBR| Berlin 25% |LBR| Der Westen so gut wie verloren wenn sich nix ändert;FALSE
1011549412216815;"WieczorekTàglich 10.000 ""Neubùrger"",und die Politik/Behôrden haben nich versagt...?Ab wieviel""Mullah's""versagen die denn?";FALSE
847;SAT1, RTL und wie die Merkel Propaganda Sender auch heißen, berichten nie was negatives gegen Merkel aber permanent gegen Trump! Noch fragen;FALSE
1077839805587775;Legale Raubritter, angeleitet von einer Frau die ihre Seele verkauft hat;FALSE
1107843862587369;...die wollen doch nur spielen ... missratene Kinder ...;FALSE
968630243175399;Ich hoffe das die Asylanträge von unseren ganzen Blockpolitikern und dann sofort abschieben nach Kanackerhausen sie mögen das doch so sehr;FALSE
1010838695621220;Wie ich diese drecks möchtegern Promis hasse, und sowas im deutschen Fernsehen. Schande für Deutschland. Joko, Klaas, Schweiger alles pack... In keinster weise fähig andere Meinungen zu tollerieren. Besoders Schweiger der penner rastet ja sofort aus. Keine anständige Diskussion möglich.;TRUE
895181270520297;Geh deine grünen Pädodeppen und linken Antifakriminellen beleidigen du seltsames Etwas, servus !;TRUE
1122156181156137;ein ex lehrer den nur der weg bleibt weiter ein hetzer bei der afd zu bleiben;FALSE
882191058485985;die können sich doch prostituieren,sowie sie das als gegendemonstranten getan haben.;FALSE
1010276485677441;Aha MArion. Du wünscht Dir also das DDR Regime mit Mauer und Stacheldraht. Gott sei Dank haben solche Menschen wie Du hier null zu melden. Ab nach Russland, da hast Du Dein Terrorgrenzregime!;FALSE
735;Einheimische hassen ihr eigenes Volk und würden alles für fremde tun das gibt es nur in Deutschland;FALSE
856806697691088;Den Dank an die Polizeikräfte könnt Ihr euch in den Allerwertetsten stecken. Solltet mal lieber drüber nach denken was eure bescheuerten Demonstrationen den Steuerzahler kostet. Die Mauer muss wieder her und dann könnt Ihr da im Osten demonstrieren bis ihr schwarz seit;FALSE
993969220641501;"Hallo Tom. Vor ein paar Tagen kam eine Reportage im TV. Es wurde in Dresden unter ausländischen Studenten eine Umfrage gemacht zum Thema Pegida und Rechtsextremismus. Das nun aber ein deutscher Student von ausländischen Invasoren angegriffen und verletzt wird sagt eigentlich alles über die Verlogenheit der ganzen Debatte. Und das das Opfer sich selbst auch für ""Flüchtlinge"" eingesetzt hat setzt dem Ganzen noch die Krone auf.";FALSE
982641448440945;Und unsere klatschspasties und refugees welcome Tänzer glauben immer noch das es kriegsflüchtlinge sind!!!! Ein hoch auf die Mainstream verblödung!!!;FALSE
856829927688765;Sandra Ahmad, Sie sprechen/schreiben von Neveau? Was Sie hier posten, ist unterste Schublade!!! Hören Sie Sich mal bei den Polizisten um!!! Die würden lieber MIT Pegida spazieren anstatt linksextremistische Faschos zu bändigen!!!;FALSE
856765661028525;"Aber wenn Ihr Euch ständig beschwert,  Mitleid sucht, unsere Fahnen verbrennt, unseren Glauben verurteilt,  unsere christlichen Werte missachtet, unseren Lebensstil verurteilt,  dann ermutige ich Euch einen weiteren Vorteil unserer großartigen  deutschen Demokratie und Gesellschaft zu nutzen:
 DEM RECHT, DAS LAND ZU VERLASSEN!!!!!!! 
 Wenn Ihr hier nicht glücklich seid, dann GEHT! 
  Wir haben Euch nicht gezwungen, hierher zu kommen. Ihr habt gebeten,  hier sein zu dürfen. Also akzeptiert das Land, dass Euch akzeptiert  hat.""";FALSE
858074980897593;"Da wird jemend eingebürgert und dann verweigert SIE sich die Nationalhymne zu singen, und gibt auch noch offen und frech in die Kamera zu, sie wolle das gar nicht..., ihr wäre nur das Papier wichtig...
Also da hört sich doch alles auf!
Der Dame gehört sofort die deutsche Staatsbürgerschaft wieder aberkannt und sie hochkant wieder hinausgeworfen!!!";FALSE
894829860555438;"Zu einem von Todenhöfer verbreiteten Foto, das ihn während des Gazakrieges 2014 in den Trümmern eines zerbombten palästinensischen Hauses umgeben von völlig unbeschädigtem Kinderspielzeug zeigte, merkte Klaus Kelle.... erstaunt an, dass die Spielwaren so „sauber und unversehrt“ gewesen seien, als wäre sie „kurz vorher in einem Laden gekauft worden“, und wünschte sich „mehr Wahrhaftigkeit“. (Zitat aus Wikipedia) 
So sieht Journalismus a la Todenhöfer aus. War der Typ nicht im Dezember bei diesen IS-Schwachköpfen und hat berichtet, dass diese das Christentum unterjochen, und den Terror in den Westen bringen wollen? Ja was den nun?";FALSE
982708021767621;Und die schon in vielen Schulen,in denen sie schon die Minderheit bilden, als schweinefressende deutsche ungläubige gemobbt werden.;FALSE
982736175098139;"Jetzt zeigen die meisten ""Flüchtlinge"" ihr wahres Gesicht. Gewalt pur.";FALSE
1069;@Frank_Pasemann Wir könnte ja ein Quiz machen ,wer das wirkliche Alter des Killers errät darf ihn entmannen!;FALSE
968406016531155;"Weg mit Flüchtlinge und Moslems die deutschen müssen für alles zahlen die Kirchen haben kein Geld mehr aber in neumünster wird ne neue Moschee gebaut. 
Wenn es so weiter geht sind wir Deutschen hier in Deutschland bald die Ausländer.
Die nehmen uns deutsche doch aus wie Weihnachtsmänner.
Wieviel deutsche sind obdachlos und bekommen kein Dach über Kopf und Flüchtlinge kriegen gleich ganze Häuser Turnhallen usw";FALSE
857227477649010;"Richie spoondoctor du bist nicht nur ein riesengrosser vollidiot sondern auch nichtvin der lage geschehnisse in europa mit deinem spatzengehirn zu erfassen.entschuldige die wortwahl abet bei soviel gequirlter scheisse kann man nichtanders verfolge die geschichte des islam les ihn und versuch zu verstehen was für eine ideologie dahintersteckt nicht umsonst waren nazis und moslems sich nahe.

Die Freundschaft zwischen Muslimen und Deutschen ist viel stärker geworden,weil der Nationalsozialismus in vieler Hinsicht der islamischen Weltanschauung parallel läuft.Berührungspunkt sind.
Der Monotheismus des Islam ist die  ordnente Macht.Der Kampf,die Gemeinschaft,die Familie und der Nachwuchs. Und das Verhältnis zu den Juden.

Muhammed amin al-Husseni
Mufti von Jerusalem im Jahre 1944";FALSE
882836661754758;Hey die Multikulti Merkel hat doch gesagt wir Deutsche müssen mit der Gewalt der Asylis leben ... Wenn dass hier tagtäglich passiert sind es pro Heim 365 Menschen , dann mal die Anzahl der Heime Bundesweit ... Alles normal stimmsts ( Ironie Off );FALSE
856797267692031;Kollege Bohn,du bisch oifach scheiße!!!Mehr Worte brauchts ned... :-D;TRUE
1152541824784239;"Dieser Verein profitiert doch sehr gut von dem Geschäft mit unseren neuen ""Bereicherungen"". Deswegen spielen die Frau M. irres Spiel mit. Sollten sich in Islamisten-Wohlfahrts-Organisation umbenennen.";FALSE
855705914467833;Vollkommen richtig! Aber ich glaube, die sind zu blöd und zu verhasst, um das verstehen zu wollen.;FALSE
856888791016212;"Und schön alles gestützt durch Grüne und Die Linke Politiker. 
Meine Fresse. Langsam reichts doch!
Die Antifa würde wahrscheinlich auch Steine auf Kleinkinder werfen, die für Corn-Flakes demonstrieren. 
Ohne Worte.";FALSE
1065262416845514;Da sollen sie erstmal auf der anderen Elbseite suchen. Was da alles zu finden ist. Hie finden die Rumänen Dinge, die hatte noch Niemand verloren.;FALSE
